dgp,alpha,N,R,method,quantity,nominal,coverage,acd,rcd,mc_se,ci95_lo,ci95_hi,ci_method,repetitions
beta_almost_single_type_support_probs,0.5,1000,225,qlr,theta,0.5000,0.994898,+0.494898,+0.989796,0.000216,0.994470,0.995324,bootstrap,250
beta_almost_single_type_support_probs,0.5,1000,225,qlr,mean_1,0.5000,0.716000,+0.216000,+0.432000,0.028577,0.657162,0.768301,wilson,250
beta_almost_single_type_support_probs,0.5,1000,225,qlr,mean_2,0.5000,0.628000,+0.128000,+0.256000,0.030630,0.566572,0.685554,wilson,250
beta_almost_single_type_support_probs,0.05,10000,25,fkrb,theta,0.9500,0.954560,+0.004560,+0.004800,0.003785,0.947040,0.961760,bootstrap,250
beta_almost_single_type_support_probs,0.05,10000,25,fkrb,mean_1,0.9500,0.944000,-0.006000,-0.006316,0.014571,0.908209,0.966352,wilson,250
beta_almost_single_type_support_probs,0.05,10000,25,fkrb,mean_2,0.9500,0.940000,-0.010000,-0.010526,0.015050,0.903377,0.963306,wilson,250
beta_almost_single_type_support_probs,0.05,10000,25,cp_wald,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_almost_single_type_support_probs,0.05,10000,25,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.05,10000,25,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.05,10000,25,qlr,theta,0.9500,0.954560,+0.004560,+0.004800,0.005402,0.943520,0.964640,bootstrap,250
beta_almost_single_type_support_probs,0.05,10000,25,qlr,mean_1,0.9500,0.996000,+0.046000,+0.048421,0.004000,0.977694,0.999294,wilson,250
beta_almost_single_type_support_probs,0.05,10000,25,qlr,mean_2,0.9500,0.992000,+0.042000,+0.044211,0.005645,0.971305,0.997803,wilson,250
beta_almost_single_type_support_probs,0.5,10000,25,fkrb,theta,0.5000,0.499680,-0.000320,-0.000640,0.008514,0.483360,0.516000,bootstrap,250
beta_almost_single_type_support_probs,0.5,10000,25,fkrb,mean_1,0.5000,0.488000,-0.012000,-0.024000,0.031677,0.426690,0.549673,wilson,250
beta_almost_single_type_support_probs,0.5,10000,25,fkrb,mean_2,0.5000,0.508000,+0.008000,+0.016000,0.031682,0.446378,0.569380,wilson,250
beta_almost_single_type_support_probs,0.5,10000,25,cp_wald,theta,0.5000,0.959840,+0.459840,+0.919680,0.002362,0.955200,0.964480,bootstrap,250
beta_almost_single_type_support_probs,0.5,10000,25,cp_wald,mean_1,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.5,10000,25,cp_wald,mean_2,0.5000,0.972000,+0.472000,+0.944000,0.010455,0.943342,0.986372,wilson,250
beta_almost_single_type_support_probs,0.5,10000,25,qlr,theta,0.5000,0.750240,+0.250240,+0.500480,0.008377,0.733760,0.766568,bootstrap,250
beta_almost_single_type_support_probs,0.5,10000,25,qlr,mean_1,0.5000,0.816000,+0.316000,+0.632000,0.024556,0.763311,0.859124,wilson,250
beta_almost_single_type_support_probs,0.5,10000,25,qlr,mean_2,0.5000,0.772000,+0.272000,+0.544000,0.026587,0.716109,0.819659,wilson,250
beta_almost_single_type_support_probs,0.05,10000,225,fkrb,theta,0.9500,0.924320,-0.025680,-0.027032,0.002742,0.918986,0.929653,bootstrap,250
beta_almost_single_type_support_probs,0.05,10000,225,fkrb,mean_1,0.9500,0.924000,-0.026000,-0.027368,0.016794,0.884359,0.950808,wilson,250
beta_almost_single_type_support_probs,0.05,10000,225,fkrb,mean_2,0.9500,0.964000,+0.014000,+0.014737,0.011806,0.933010,0.980947,wilson,250
beta_almost_single_type_support_probs,0.05,10000,225,cp_wald,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_almost_single_type_support_probs,0.05,10000,225,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.05,10000,225,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.05,10000,225,qlr,theta,0.9500,0.999538,+0.049538,+0.052145,0.000086,0.999360,0.999698,bootstrap,250
beta_almost_single_type_support_probs,0.05,10000,225,qlr,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.05,10000,225,qlr,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.5,10000,225,fkrb,theta,0.5000,0.477191,-0.022809,-0.045618,0.004434,0.468782,0.485920,bootstrap,250
beta_almost_single_type_support_probs,0.5,10000,225,fkrb,mean_1,0.5000,0.432000,-0.068000,-0.136000,0.031392,0.372083,0.493975,wilson,250
beta_almost_single_type_support_probs,0.5,10000,225,fkrb,mean_2,0.5000,0.516000,+0.016000,+0.032000,0.031670,0.454280,0.577236,wilson,250
beta_almost_single_type_support_probs,0.5,10000,225,cp_wald,theta,0.5000,1.000000,+0.500000,+1.000000,0.000000,1.000000,1.000000,bootstrap,250
beta_almost_single_type_support_probs,0.5,10000,225,cp_wald,mean_1,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.5,10000,225,cp_wald,mean_2,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_almost_single_type_support_probs,0.5,10000,225,qlr,theta,0.5000,0.995271,+0.495271,+0.990542,0.000271,0.994738,0.995787,bootstrap,250
beta_almost_single_type_support_probs,0.5,10000,225,qlr,mean_1,0.5000,0.772000,+0.272000,+0.544000,0.026587,0.716109,0.819659,wilson,250
beta_almost_single_type_support_probs,0.5,10000,225,qlr,mean_2,0.5000,0.768000,+0.268000,+0.536000,0.026750,0.711859,0.816029,wilson,250
beta_bimodal_support_probs,0.05,1000,25,fkrb,theta,0.9500,0.951040,+0.001040,+0.001095,0.003451,0.944320,0.957600,bootstrap,250
beta_bimodal_support_probs,0.05,1000,25,fkrb,mean_1,0.9500,0.968000,+0.018000,+0.018947,0.011154,0.938138,0.983698,wilson,250
beta_bimodal_support_probs,0.05,1000,25,fkrb,mean_2,0.9500,0.968000,+0.018000,+0.018947,0.011154,0.938138,0.983698,wilson,250
beta_bimodal_support_probs,0.05,1000,25,cp_wald,theta,0.9500,0.997280,+0.047280,+0.049768,0.000749,0.995680,0.998560,bootstrap,250
beta_bimodal_support_probs,0.05,1000,25,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.05,1000,25,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.05,1000,25,qlr,theta,0.9500,0.978720,+0.028720,+0.030232,0.002055,0.974560,0.982720,bootstrap,250
beta_bimodal_support_probs,0.05,1000,25,qlr,mean_1,0.9500,0.984000,+0.034000,+0.035789,0.007952,0.959590,0.993761,wilson,250
beta_bimodal_support_probs,0.05,1000,25,qlr,mean_2,0.9500,0.992000,+0.042000,+0.044211,0.005645,0.971305,0.997803,wilson,250
beta_bimodal_support_probs,0.5,1000,25,fkrb,theta,0.5000,0.479200,-0.020800,-0.041600,0.007992,0.463680,0.494720,bootstrap,250
beta_bimodal_support_probs,0.5,1000,25,fkrb,mean_1,0.5000,0.512000,+0.012000,+0.024000,0.031677,0.450327,0.573310,wilson,250
beta_bimodal_support_probs,0.5,1000,25,fkrb,mean_2,0.5000,0.540000,+0.040000,+0.080000,0.031585,0.478080,0.600709,wilson,250
beta_bimodal_support_probs,0.5,1000,25,cp_wald,theta,0.5000,0.899200,+0.399200,+0.798400,0.004631,0.889920,0.908320,bootstrap,250
beta_bimodal_support_probs,0.5,1000,25,cp_wald,mean_1,0.5000,0.960000,+0.460000,+0.920000,0.012418,0.927947,0.978130,wilson,250
beta_bimodal_support_probs,0.5,1000,25,cp_wald,mean_2,0.5000,0.880000,+0.380000,+0.760000,0.020594,0.833862,0.914637,wilson,250
beta_bimodal_support_probs,0.5,1000,25,qlr,theta,0.5000,0.714240,+0.214240,+0.428480,0.005940,0.702720,0.725760,bootstrap,250
beta_bimodal_support_probs,0.5,1000,25,qlr,mean_1,0.5000,0.536000,+0.036000,+0.072000,0.031604,0.474104,0.596807,wilson,250
beta_bimodal_support_probs,0.5,1000,25,qlr,mean_2,0.5000,0.540000,+0.040000,+0.080000,0.031585,0.478080,0.600709,wilson,250
beta_bimodal_support_probs,0.05,1000,225,fkrb,theta,0.9500,0.909013,-0.040987,-0.043144,0.003178,0.902755,0.915236,bootstrap,250
beta_bimodal_support_probs,0.05,1000,225,fkrb,mean_1,0.9500,0.932000,-0.018000,-0.018947,0.015954,0.893811,0.957114,wilson,250
beta_bimodal_support_probs,0.05,1000,225,fkrb,mean_2,0.9500,0.952000,+0.002000,+0.002105,0.013547,0.917988,0.972332,wilson,250
beta_bimodal_support_probs,0.05,1000,225,cp_wald,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_bimodal_support_probs,0.05,1000,225,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.05,1000,225,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.05,1000,225,qlr,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_bimodal_support_probs,0.05,1000,225,qlr,mean_1,0.9500,0.988000,+0.038000,+0.040000,0.006900,0.965319,0.995911,wilson,250
beta_bimodal_support_probs,0.05,1000,225,qlr,mean_2,0.9500,0.976000,+0.026000,+0.027368,0.009699,0.948638,0.988955,wilson,250
beta_bimodal_support_probs,0.5,1000,225,fkrb,theta,0.5000,0.455413,-0.044587,-0.089173,0.004595,0.446400,0.464339,bootstrap,250
beta_bimodal_support_probs,0.5,1000,225,fkrb,mean_1,0.5000,0.416000,-0.084000,-0.168000,0.031236,0.356623,0.477919,wilson,250
beta_bimodal_support_probs,0.5,1000,225,fkrb,mean_2,0.5000,0.468000,-0.032000,-0.064000,0.031621,0.407100,0.529869,wilson,250
beta_bimodal_support_probs,0.5,1000,225,cp_wald,theta,0.5000,1.000000,+0.500000,+1.000000,0.000000,1.000000,1.000000,bootstrap,250
beta_bimodal_support_probs,0.5,1000,225,cp_wald,mean_1,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.5,1000,225,cp_wald,mean_2,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.5,1000,225,qlr,theta,0.5000,0.992693,+0.492693,+0.985387,0.000551,0.991609,0.993724,bootstrap,250
beta_bimodal_support_probs,0.5,1000,225,qlr,mean_1,0.5000,0.572000,+0.072000,+0.144000,0.031356,0.510033,0.631788,wilson,250
beta_bimodal_support_probs,0.5,1000,225,qlr,mean_2,0.5000,0.564000,+0.064000,+0.128000,0.031426,0.502021,0.624042,wilson,250
beta_bimodal_support_probs,0.05,10000,25,fkrb,theta,0.9500,0.952000,+0.002000,+0.002105,0.003254,0.945440,0.958240,bootstrap,250
beta_bimodal_support_probs,0.05,10000,25,fkrb,mean_1,0.9500,0.944000,-0.006000,-0.006316,0.014571,0.908209,0.966352,wilson,250
beta_bimodal_support_probs,0.05,10000,25,fkrb,mean_2,0.9500,0.952000,+0.002000,+0.002105,0.013547,0.917988,0.972332,wilson,250
beta_bimodal_support_probs,0.05,10000,25,cp_wald,theta,0.9500,0.991520,+0.041520,+0.043705,0.001485,0.988480,0.994240,bootstrap,250
beta_bimodal_support_probs,0.05,10000,25,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.05,10000,25,cp_wald,mean_2,0.9500,0.996000,+0.046000,+0.048421,0.004000,0.977694,0.999294,wilson,250
beta_bimodal_support_probs,0.05,10000,25,qlr,theta,0.9500,0.968640,+0.018640,+0.019621,0.002923,0.962880,0.974240,bootstrap,250
beta_bimodal_support_probs,0.05,10000,25,qlr,mean_1,0.9500,0.976000,+0.026000,+0.027368,0.009699,0.948638,0.988955,wilson,250
beta_bimodal_support_probs,0.05,10000,25,qlr,mean_2,0.9500,0.972000,+0.022000,+0.023158,0.010455,0.943342,0.986372,wilson,250
beta_bimodal_support_probs,0.5,10000,25,fkrb,theta,0.5000,0.502080,+0.002080,+0.004160,0.008609,0.485120,0.519040,bootstrap,250
beta_bimodal_support_probs,0.5,10000,25,fkrb,mean_1,0.5000,0.576000,+0.076000,+0.152000,0.031318,0.514045,0.635655,wilson,250
beta_bimodal_support_probs,0.5,10000,25,fkrb,mean_2,0.5000,0.492000,-0.008000,-0.016000,0.031682,0.430620,0.553622,wilson,250
beta_bimodal_support_probs,0.5,10000,25,cp_wald,theta,0.5000,0.785280,+0.285280,+0.570560,0.006540,0.772320,0.798080,bootstrap,250
beta_bimodal_support_probs,0.5,10000,25,cp_wald,mean_1,0.5000,0.856000,+0.356000,+0.712000,0.022249,0.807088,0.894137,wilson,250
beta_bimodal_support_probs,0.5,10000,25,cp_wald,mean_2,0.5000,0.800000,+0.300000,+0.600000,0.025349,0.746044,0.844876,wilson,250
beta_bimodal_support_probs,0.5,10000,25,qlr,theta,0.5000,0.708640,+0.208640,+0.417280,0.007521,0.693920,0.723520,bootstrap,250
beta_bimodal_support_probs,0.5,10000,25,qlr,mean_1,0.5000,0.640000,+0.140000,+0.280000,0.030419,0.578795,0.696968,wilson,250
beta_bimodal_support_probs,0.5,10000,25,qlr,mean_2,0.5000,0.652000,+0.152000,+0.304000,0.030187,0.591057,0.708343,wilson,250
beta_bimodal_support_probs,0.05,10000,225,fkrb,theta,0.9500,0.916569,-0.033431,-0.035191,0.002914,0.910898,0.922240,bootstrap,250
beta_bimodal_support_probs,0.05,10000,225,fkrb,mean_1,0.9500,0.916000,-0.034000,-0.035789,0.017579,0.875005,0.944404,wilson,250
beta_bimodal_support_probs,0.05,10000,225,fkrb,mean_2,0.9500,0.928000,-0.022000,-0.023158,0.016381,0.889071,0.953974,wilson,250
beta_bimodal_support_probs,0.05,10000,225,cp_wald,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_bimodal_support_probs,0.05,10000,225,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.05,10000,225,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.05,10000,225,qlr,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_bimodal_support_probs,0.05,10000,225,qlr,mean_1,0.9500,0.676000,-0.274000,-0.288421,0.029658,0.615703,0.730970,wilson,250
beta_bimodal_support_probs,0.05,10000,225,qlr,mean_2,0.9500,0.784000,-0.166000,-0.174737,0.026079,0.728897,0.830508,wilson,250
beta_bimodal_support_probs,0.5,10000,225,fkrb,theta,0.5000,0.476213,-0.023787,-0.047573,0.005045,0.466151,0.486027,bootstrap,250
beta_bimodal_support_probs,0.5,10000,225,fkrb,mean_1,0.5000,0.500000,+0.000000,+0.000000,0.031686,0.438491,0.561509,wilson,250
beta_bimodal_support_probs,0.5,10000,225,fkrb,mean_2,0.5000,0.492000,-0.008000,-0.016000,0.031682,0.430620,0.553622,wilson,250
beta_bimodal_support_probs,0.5,10000,225,cp_wald,theta,0.5000,1.000000,+0.500000,+1.000000,0.000000,1.000000,1.000000,bootstrap,250
beta_bimodal_support_probs,0.5,10000,225,cp_wald,mean_1,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.5,10000,225,cp_wald,mean_2,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_bimodal_support_probs,0.5,10000,225,qlr,theta,0.5000,0.980356,+0.480356,+0.960711,0.001564,0.977227,0.983307,bootstrap,250
beta_bimodal_support_probs,0.5,10000,225,qlr,mean_1,0.5000,0.588000,+0.088000,+0.176000,0.031192,0.526105,0.647232,wilson,250
beta_bimodal_support_probs,0.5,10000,225,qlr,mean_2,0.5000,0.612000,+0.112000,+0.224000,0.030881,0.550335,0.670275,wilson,250
beta_four_types_support_probs,0.05,1000,25,fkrb,theta,0.9500,0.966240,+0.016240,+0.017095,0.002908,0.960320,0.971680,bootstrap,250
beta_four_types_support_probs,0.05,1000,25,fkrb,mean_1,0.9500,0.948000,-0.002000,-0.002105,0.014070,0.913078,0.969362,wilson,250
beta_four_types_support_probs,0.05,1000,25,fkrb,mean_2,0.9500,0.932000,-0.018000,-0.018947,0.015954,0.893811,0.957114,wilson,250
beta_four_types_support_probs,0.05,1000,25,cp_wald,theta,0.9500,0.996480,+0.046480,+0.048926,0.000818,0.994720,0.997920,bootstrap,250
beta_four_types_support_probs,0.05,1000,25,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_four_types_support_probs,0.05,1000,25,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_four_types_support_probs,0.05,1000,25,qlr,theta,0.9500,0.957120,+0.007120,+0.007495,0.003019,0.951200,0.962880,bootstrap,250
beta_four_types_support_probs,0.05,1000,25,qlr,mean_1,0.9500,0.980000,+0.030000,+0.031579,0.008872,0.954044,0.991428,wilson,250
beta_four_types_support_probs,0.05,1000,25,qlr,mean_2,0.9500,0.964000,+0.014000,+0.014737,0.011806,0.933010,0.980947,wilson,250
beta_four_types_support_probs,0.5,1000,25,fkrb,theta,0.5000,0.703840,+0.203840,+0.407680,0.006429,0.691040,0.716160,bootstrap,250
beta_four_types_support_probs,0.5,1000,25,fkrb,mean_1,0.5000,0.500000,+0.000000,+0.000000,0.031686,0.438491,0.561509,wilson,250
beta_four_types_support_probs,0.5,1000,25,fkrb,mean_2,0.5000,0.520000,+0.020000,+0.040000,0.031661,0.458237,0.581158,wilson,250
beta_four_types_support_probs,0.5,1000,25,cp_wald,theta,0.5000,0.887200,+0.387200,+0.774400,0.004855,0.877600,0.896488,bootstrap,250
beta_four_types_support_probs,0.5,1000,25,cp_wald,mean_1,0.5000,0.968000,+0.468000,+0.936000,0.011154,0.938138,0.983698,wilson,250
beta_four_types_support_probs,0.5,1000,25,cp_wald,mean_2,0.5000,0.800000,+0.300000,+0.600000,0.025349,0.746044,0.844876,wilson,250
beta_four_types_support_probs,0.5,1000,25,qlr,theta,0.5000,0.765280,+0.265280,+0.530560,0.005285,0.754880,0.775680,bootstrap,250
beta_four_types_support_probs,0.5,1000,25,qlr,mean_1,0.5000,0.568000,+0.068000,+0.136000,0.031392,0.506025,0.627917,wilson,250
beta_four_types_support_probs,0.5,1000,25,qlr,mean_2,0.5000,0.536000,+0.036000,+0.072000,0.031604,0.474104,0.596807,wilson,250
beta_four_types_support_probs,0.05,1000,225,fkrb,theta,0.9500,0.954862,+0.004862,+0.005118,0.001562,0.951804,0.957884,bootstrap,250
beta_four_types_support_probs,0.05,1000,225,fkrb,mean_1,0.9500,0.936000,-0.014000,-0.014737,0.015511,0.898579,0.960225,wilson,250
beta_four_types_support_probs,0.05,1000,225,fkrb,mean_2,0.9500,0.960000,+0.010000,+0.010526,0.012418,0.927947,0.978130,wilson,250
beta_four_types_support_probs,0.05,1000,225,cp_wald,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_four_types_support_probs,0.05,1000,225,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_four_types_support_probs,0.05,1000,225,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_four_types_support_probs,0.05,1000,225,qlr,theta,0.9500,0.992409,+0.042409,+0.044641,0.000255,0.991893,0.992907,bootstrap,250
beta_four_types_support_probs,0.05,1000,225,qlr,mean_1,0.9500,0.972000,+0.022000,+0.023158,0.010455,0.943342,0.986372,wilson,250
beta_four_types_support_probs,0.05,1000,225,qlr,mean_2,0.9500,0.980000,+0.030000,+0.031579,0.008872,0.954044,0.991428,wilson,250
beta_four_types_support_probs,0.5,1000,225,fkrb,theta,0.5000,0.725813,+0.225813,+0.451627,0.002379,0.721190,0.730507,bootstrap,250
beta_four_types_support_probs,0.5,1000,225,fkrb,mean_1,0.5000,0.404000,-0.096000,-0.192000,0.031097,0.345071,0.465835,wilson,250
beta_four_types_support_probs,0.5,1000,225,fkrb,mean_2,0.5000,0.528000,+0.028000,+0.056000,0.031636,0.466163,0.588990,wilson,250
beta_four_types_support_probs,0.5,1000,225,cp_wald,theta,0.5000,1.000000,+0.500000,+1.000000,0.000000,1.000000,1.000000,bootstrap,250
beta_four_types_support_probs,0.5,1000,225,cp_wald,mean_1,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_four_types_support_probs,0.5,1000,225,cp_wald,mean_2,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_four_types_support_probs,0.5,1000,225,qlr,theta,0.5000,0.979893,+0.479893,+0.959787,0.000281,0.979342,0.980444,bootstrap,250
beta_four_types_support_probs,0.5,1000,225,qlr,mean_1,0.5000,0.564000,+0.064000,+0.128000,0.031426,0.502021,0.624042,wilson,250
beta_four_types_support_probs,0.5,1000,225,qlr,mean_2,0.5000,0.508000,+0.008000,+0.016000,0.031682,0.446378,0.569380,wilson,250
beta_four_types_support_probs,0.05,10000,25,fkrb,theta,0.9500,0.969120,+0.019120,+0.020126,0.002877,0.963360,0.974720,bootstrap,250
beta_four_types_support_probs,0.05,10000,25,fkrb,mean_1,0.9500,0.928000,-0.022000,-0.023158,0.016381,0.889071,0.953974,wilson,250
beta_four_types_support_probs,0.05,10000,25,fkrb,mean_2,0.9500,0.956000,+0.006000,+0.006316,0.012997,0.922942,0.975256,wilson,250
